First Name,Last Name,Email,Location,Sector,Major Expertise,Minor Expertise,Min Salary,Max Salary,Years Experience,WFH Days,Skills,Job Type,Last Moved Years,Move Status
redacted fn,redacted ln,redacted email,Edinburgh,General Insurance - Pricing,Lloyd's Syndicate,"['Broker' ""Lloyd's Syndicate"" 'Reinsurer']",94000,120294.9748,6,0,['Radar' 'Python' 'Excel' 'Long-Tail Pricing'],Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,Nottingham,General Insurance - Capital Modelling,Personal Lines,['Personal Lines'],24000,29668.8778,0,3,['Long-Tail Pricing' 'Python'],Permanent,0,Urgently Looking
redacted fn,redacted ln,redacted email,Cardiff,General Insurance - Capital Modelling,Commercial Lines,['London Market' 'Personal Lines' 'Commercial Lines'],20000,24743.13526,0,0,['Data Science' 'Long-Tail Pricing' 'Excel' 'Model Building'],Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Bristol,General Insurance - Reserving,Consultancy,['Consultancy'],24000,30704.36106,0,0,['Python' 'Long-Tail Pricing' 'Model Building' 'Data Science' 'Excel'],Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Dublin,General Insurance - Capital Modelling,Reinsurer,['London Market' 'Broker' 'Reinsurer'],50000,61897.91008,3,3,['Model Building' 'Short-Tail Pricing' 'Radar'],Permanent,2,Actively Looking
redacted fn,redacted ln,redacted email,Dublin,General Insurance - Capital Modelling,Reinsurance Broker,['Consultancy' 'Reinsurance Broker' 'Commercial Lines'],116000,133132.0835,6,1,"['Excel' 'Head of Capital' 'R' 'Python' 'Reinsurance Pricing' 'Managerial'
 'Lloyds' 'Tyche']",Permanent,0,Actively Looking
redacted fn,redacted ln,redacted email,Bristol,General Insurance - Reserving,Personal Lines,['Reinsurance Broker' 'Personal Lines' 'Regulator'],67000,75908.56932,4,3,['Excel' 'Managerial' 'Short-Tail Pricing' 'Lloyds' 'Consultancy'],Contractor,1,Open Minded
redacted fn,redacted ln,redacted email,Bristol,General Insurance - Pricing,Personal Lines,['Personal Lines'],29000,32478.48969,1,0,"['Excel' 'Business Planning' 'Model Building' 'Tyche' 'Broker'
 'Data Science' 'Radar' 'R']",Contractor,1,Actively Looking
redacted fn,redacted ln,redacted email,Glasgow,General Insurance - Reserving,Regulator,['Commercial Lines' 'Regulator'],97000,123046.836,8,1,"['Head of Reserving' 'Long-Tail Pricing' 'Tyche' 'Short-Tail Pricing'
 'Head of Capital' 'Head of Pricing']",Contractor,6,Urgently Looking
redacted fn,redacted ln,redacted email,Glasgow,General Insurance - Reserving,Reinsurance Broker,['Reinsurance Broker'],174000,218052.6828,10,0,"['Consultancy' 'Reinsurance Pricing' 'Head of Reserving' 'Head of Pricing'
 'Head of Capital' 'Excel' 'Python']",Permanent,6,Open Minded
redacted fn,redacted ln,redacted email,Manchester,General Insurance - Capital Modelling,Lloyd's Syndicate,"[""Lloyd's Syndicate"" 'Broker' 'Commercial Lines']",96000,120661.417,6,0,"['Long-Tail Pricing' 'Excel' 'Model Building' 'Head of Reserving'
 'Managerial' 'Reinsurance Pricing' 'Head of Capital' 'Head of Pricing'
 'Radar' 'Consultancy' 'Lloyds']",Permanent,1,Actively Looking
redacted fn,redacted ln,redacted email,Leeds,General Insurance - Pricing,Personal Lines,['Regulator' 'Personal Lines' 'Consultancy'],33000,36542.65253,2,4,"['Long-Tail Pricing' 'Tyche' 'Radar' 'Reinsurance Pricing' 'Python'
 'Short-Tail Pricing' 'Model Building' 'Consultancy' 'Managerial']",Permanent,0,Open Minded
redacted fn,redacted ln,redacted email,Dublin,General Insurance - Pricing,London Market,['London Market'],66000,84277.77767,5,0,"['Reinsurance Pricing' 'Long-Tail Pricing' 'Managerial' 'Radar' 'Lloyds'
 'R' 'Excel' 'Short-Tail Pricing' 'Tyche' 'Python']",Permanent,3,Open Minded
